key	source	title	category	license	url
technical-writing-and-simple-statistics-for-laboratory-classes	Open Textbook Library	Technical Writing and Simple Statistics : for laboratory classes		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3215
the-fundamentals-of-healthcare-administration-navigating-challenges-and-coordinating-care	Open Textbook Library	The Fundamentals of Healthcare Administration: Navigating Challenges and Coordinating Care		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3097
food-studies-matter-meaning-movement	Open Textbook Library	Food Studies: Matter, Meaning, Movement		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2916
sociology-understanding-and-changing-the-social-world	Open Textbook Library	Sociology: Understanding and Changing the Social World		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1730
effective-professional-communication-a-rhetorical-approach	Open Textbook Library	Effective Professional Communication: A Rhetorical Approach		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2776
open-judicial-politics	Open Textbook Library	Open Judicial Politics - 2nd Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2339
professional-responsibility-an-open-source-casebook-frye	Open Textbook Library	Professional Responsibility: An Open-Source Casebook		CC0	https://open.umn.edu/opentextbooks/formats/1516
mind-body-world-foundations-of-cognitive-science	Open Textbook Library	Mind, Body, World: Foundations of Cognitive Science		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/721
a-primer-of-real-analysis	Open Textbook Library	A Primer of Real Analysis		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/665
a-grammar-of-komnzo	Open Textbook Library	A grammar of Komnzo		CC BY	https://open.umn.edu/opentextbooks/formats/1146
analysis-and-design-of-elementary-mos-amplifier-stages	Open Textbook Library	Analysis and Design of Elementary MOS Amplifier Stages		CC BY	https://open.umn.edu/opentextbooks/formats/3283
decoding-the-1920s-a-reader-for-advanced-learners-of-russian	Open Textbook Library	Decoding the 1920s: A Reader for Advanced Learners of Russian		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2293
botany-in-hawai-i	Open Textbook Library	Botany in Hawaiʻi		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2841
general-biology-i-survey-of-cellular-biology	Open Textbook Library	General Biology I: Survey of Cellular Biology		CC BY	https://open.umn.edu/opentextbooks/formats/2386
human-anatomy-self-assessment-review-questions	Open Textbook Library	Human Anatomy: Self-Assessment Review Questions		CC BY	https://open.umn.edu/opentextbooks/formats/3103
world-regional-geography	Open Textbook Library	World Regional Geography		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/398
introduction-to-aerospace-structures-and-materials	Open Textbook Library	Introduction to Aerospace Structures and Materials		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1112
engineering-statics-open-and-interactive	Open Textbook Library	Engineering Statics: Open and Interactive		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2575
logical-reasoning	Open Textbook Library	Logical Reasoning		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1273
criminal-procedure-undergraduate-edition-author	Open Textbook Library	Criminal Procedure: Undergraduate Edition Author:		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3235
the-story-of-contract-law-implementing-the-bargain	Open Textbook Library	The Story of Contract Law: Implementing the Bargain		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1102
business-ethics-2018	Open Textbook Library	Business Ethics		CC BY	https://open.umn.edu/opentextbooks/formats/1063
open-music-theory	Open Textbook Library	Open Music Theory - Version 2		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3133
romance-lands-and-conservation-in-the-greater-yellowstone-ecosystem	Open Textbook Library	Romance Lands and Conservation in the Greater Yellowstone Ecosystem		CC BY	https://open.umn.edu/opentextbooks/formats/3715
civil-rights-and-liberties	Open Textbook Library	Civil Rights and Liberties		CC BY	https://open.umn.edu/opentextbooks/formats/3219
international-advances-in-writing-research-cultures-places-measures	Open Textbook Library	International Advances in Writing Research: Cultures, Places, Measures		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/846
introduction-to-economic-analysis	Open Textbook Library	Introduction to Economic Analysis		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/270
surveying-and-mapping	Open Textbook Library	Surveying and Mapping		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2780
introduction-to-political-science	Open Textbook Library	Introduction to Political Science		CC BY	https://open.umn.edu/opentextbooks/formats/2939
the-european-experience-a-multi-perspective-history-of-modern-europe-1500-2000	Open Textbook Library	The European Experience: A Multi-Perspective History of Modern Europe, 1500–2000		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3412
greek-and-latin-roots-part-ii-greek	Open Textbook Library	Greek and Latin Roots: Part II - Greek		CC BY	https://open.umn.edu/opentextbooks/formats/742
part-cm-classical-mechanics	Open Textbook Library	Part CM: Classical Mechanics		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3146
business-english-for-success	Open Textbook Library	Business English for Success		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/236
college-algebra-2015	Open Textbook Library	College Algebra 2e - 2e		CC BY	https://open.umn.edu/opentextbooks/formats/139
geological-structures-a-practical-introduction	Open Textbook Library	Geological Structures: a Practical Introduction		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1595
the-adventure-of-physics-vol-i-fall-flow-and-heat	Open Textbook Library	The Adventure of Physics - Vol. I: Fall, Flow, and Heat		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/19
design-for-learning-principles-processes-and-praxis	Open Textbook Library	Design for Learning: Principles, Processes, and Praxis		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2348
a-computational-introduction-to-number-theory-and-algebra	Open Textbook Library	A Computational Introduction to Number Theory and Algebra		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/887
anatomy-and-physiology-of-animals	Open Textbook Library	Anatomy and Physiology of Animals		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/432
applied-human-anatomy	Open Textbook Library	Applied Human Anatomy		CC BY	https://open.umn.edu/opentextbooks/formats/3154
portugues-para-principiantes	Open Textbook Library	Português para principiantes		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/550
numerical-methods-for-ordinary-differential-equations	Open Textbook Library	Numerical Methods for Ordinary Differential Equations		CC BY	https://open.umn.edu/opentextbooks/formats/3406
introduction-to-philosophy-epistemology	Open Textbook Library	Introduction to Philosophy: Epistemology		CC BY	https://open.umn.edu/opentextbooks/formats/2760
symbiotic-posthumanist-ecologies-in-western-literature-philosophy-and-art-towards-theory-and-practice-volume-11	Open Textbook Library	Symbiotic Posthumanist Ecologies in Western Literature, Philosophy and Art: Towards Theory and Practice Volume 11		CC BY	https://open.umn.edu/opentextbooks/formats/3502
oregon-s-history-people-of-the-northwest-in-the-land-of-eden	Open Textbook Library	Oregon’s History: People of the Northwest in the Land of Eden		CC BY	https://open.umn.edu/opentextbooks/formats/1565
basic-algebra-with-applications	Open Textbook Library	Basic Algebra with Applications - 6th Edition		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3085
transition-with-purpose-pathways-from-english-language-to-academic-study	Open Textbook Library	Transition with Purpose: Pathways from English Language to Academic Study		CC BY-NC	https://open.umn.edu/opentextbooks/formats/860
semiconductor-devices-theory-and-application	Open Textbook Library	Semiconductor Devices: Theory and Application		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/935
evidence-jury-impeachment	Open Textbook Library	Evidence: Jury Impeachment		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/581
organic-chemistry-with-a-biological-emphasis-volume-i	Open Textbook Library	Organic Chemistry with a Biological Emphasis Volume I		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/695
ports-and-waterways-navigating-the-changing-world	Open Textbook Library	Ports and Waterways: Navigating the changing world		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2598
think-complexity-exploring-complexity-science-with-python	Open Textbook Library	Think Complexity: Exploring Complexity Science with Python - 2e		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/339
pay-for-play-how-the-music-industry-works-where-the-money-goes-and-why	Open Textbook Library	Pay for Play: How the Music Industry Works, Where the Money Goes, and Why		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3626
foundations-of-computation	Open Textbook Library	Foundations of Computation		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/525
dress-appearance-and-diversity-in-u-s-society	Open Textbook Library	Dress, Appearance, and Diversity in U.S. Society		CC BY	https://open.umn.edu/opentextbooks/formats/2956
writing-spaces-readings-on-writing-vol-ii	Open Textbook Library	Writing Spaces: Readings on Writing Vol. II		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/117
nursing-fundamentals	Open Textbook Library	Nursing Fundamentals		CC BY	https://open.umn.edu/opentextbooks/formats/2500
fundamentals-of-anatomy-and-physiology	Open Textbook Library	Fundamentals of Anatomy and Physiology - Australian Edition		CC BY-SA	https://open.umn.edu/opentextbooks/formats/2374
the-adventure-of-physics-vol-v-motion-inside-matter-pleasure-technology-and-stars	Open Textbook Library	The Adventure of Physics - Vol. V: Motion Inside Matter - Pleasure, Technology, and Stars		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/26
forall-x-calgary	Open Textbook Library	forall x: Calgary		CC BY	https://open.umn.edu/opentextbooks/formats/2828
fish-fishing-and-conservation	Open Textbook Library	Fish, Fishing, and Conservation		CC BY	https://open.umn.edu/opentextbooks/formats/3638
civil-procedure-pleading	Open Textbook Library	Civil Procedure: Pleading		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/570
how-arguments-work-a-guide-to-writing-and-analyzing-texts-in-college	Open Textbook Library	How Arguments Work - A Guide to Writing and Analyzing Texts in College		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2749
basic-analysis-introduction-to-real-analysis	Open Textbook Library	Basic Analysis: Introduction to Real Analysis		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/422
library-160-introduction-to-college-level-research	Open Textbook Library	Library 160: Introduction to College-Level Research		CC BY-SA	https://open.umn.edu/opentextbooks/formats/2596
media-studies-101	Open Textbook Library	Media Studies 101		CC BY	https://open.umn.edu/opentextbooks/formats/542
philosophical-ethics	Open Textbook Library	Philosophical Ethics		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1832
international-business	Open Textbook Library	International Business		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/266
object-oriented-reengineering-patterns	Open Textbook Library	Object-Oriented Reengineering Patterns		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1064
analyzing-meaning-an-introduction-to-semantics-and-pragmatics	Open Textbook Library	Analyzing meaning: An introduction to semantics and pragmatics		CC BY	https://open.umn.edu/opentextbooks/formats/894
calculus	Open Textbook Library	Calculus		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/59
an-introduction-to-technical-theatre	Open Textbook Library	An Introduction to Technical Theatre		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1118
elementary-mandarin	Open Textbook Library	Elementary Mandarin		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2731
microeconomics-theory-through-applications	Open Textbook Library	Microeconomics: Theory Through Applications		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/286
advanced-algebra-v-1-0	Open Textbook Library	Advanced Algebra v. 1.0		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3118
basic-engineering-data-collection-and-analysis	Open Textbook Library	Basic Engineering Data Collection and Analysis		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3313
cell-and-molecular-biology-2e-what-we-know-how-we-found-out	Open Textbook Library	Basic Cell and Molecular Biology: What We Know & How We Found Out - 4e		CC BY	https://open.umn.edu/opentextbooks/formats/438
scientific-inquiry-in-social-work	Open Textbook Library	Scientific Inquiry in Social Work		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/984
fundamentals-of-psychological-disorders	Open Textbook Library	Fundamentals of Psychological Disorders - 3rd edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1572
introduction-to-human-osteology	Open Textbook Library	Introduction to Human Osteology		CC BY-NC	https://open.umn.edu/opentextbooks/formats/800
practicing-and-presenting-social-research	Open Textbook Library	Practicing and Presenting Social Research		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3291
mathematics-for-biomedical-physics	Open Textbook Library	Mathematics for Biomedical Physics		CC BY	https://open.umn.edu/opentextbooks/formats/3055
introduction-to-philosophy-philosophy-of-religion	Open Textbook Library	Introduction to Philosophy: Philosophy of Religion		CC BY	https://open.umn.edu/opentextbooks/formats/1936
astronomy	Open Textbook Library	Astronomy 2e - 2e		CC BY	https://open.umn.edu/opentextbooks/formats/474
the-data-journalism-handbook	Open Textbook Library	The Data Journalism Handbook		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1121
introduction-to-biological-psychology	Open Textbook Library	Introduction to Biological Psychology		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3415
anatomy-and-physiology	Open Textbook Library	Anatomy and Physiology 2e - 2e		CC BY	https://open.umn.edu/opentextbooks/formats/121
libro-libre-an-introduction-to-spanish-i	Open Textbook Library	Libro Libre: An Introduction to Spanish I		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3379
instruction-in-functional-assessment	Open Textbook Library	Instruction in Functional Assessment		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/181
concept-development-studies-in-chemistry	Open Textbook Library	Concept Development Studies in Chemistry		CC BY	https://open.umn.edu/opentextbooks/formats/903
financial-strategy-for-public-managers	Open Textbook Library	Financial Strategy for Public Managers		CC BY	https://open.umn.edu/opentextbooks/formats/913
college-trigonometry	Open Textbook Library	College Trigonometry		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/62
essentials-of-exercise-and-sport-psychology-an-open-access-textbook	Open Textbook Library	Essentials of Exercise and Sport Psychology: An Open Access Textbook		CC BY	https://open.umn.edu/opentextbooks/formats/2998
algebra-and-trigonometry	Open Textbook Library	Algebra and Trigonometry 2e		CC BY	https://open.umn.edu/opentextbooks/formats/137
collaborative-statistics	Open Textbook Library	Collaborative Statistics		CC BY	https://open.umn.edu/opentextbooks/formats/514
principles-of-microeconomics-2017	Open Textbook Library	Principles of Microeconomics		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1420
reflective-practice-in-early-years-education	Open Textbook Library	Reflective Practice in Early Years Education		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2919
